file_id,lemma,expected_freq,expected_doc_freq,expected_pos_primary,is_det_surface,expectation_type,comment
coordinated_np,חוזק,1,1,TBD,False,exact,
coordinated_np,עמידות,1,1,TBD,False,exact,
coordinated_np,נמדדו,1,1,TBD,False,exact,
coordinated_np,במעבדה.,1,1,TBD,False,exact,
coordinated_np,פלדה,1,1,TBD,False,exact,
coordinated_np,אלומיניום,1,1,TBD,False,exact,
coordinated_np,שמשו,1,1,TBD,False,exact,
coordinated_np,בניסוי.,1,1,TBD,False,exact,
coordinated_np,שחיקה,1,1,TBD,False,exact,
coordinated_np,קורוזיה,1,1,TBD,False,exact,
coordinated_np,הם,1,1,TBD,False,exact,
coordinated_np,גורמי,1,1,TBD,False,exact,
coordinated_np,כשל.,1,1,TBD,False,exact,
coordinated_np,טמפרטורה,1,1,TBD,False,exact,
coordinated_np,לחץ,1,1,TBD,False,exact,
coordinated_np,נשלטו.,1,1,TBD,False,exact,
nested_np,חוזק,1,1,TBD,False,exact,
nested_np,מתיחה,1,1,TBD,False,exact,
nested_np,של,1,1,TBD,False,exact,
nested_np,פלדה,1,1,TBD,False,exact,
nested_np,מוקשחת,1,1,TBD,False,exact,
nested_np,נמדד.,1,1,TBD,False,exact,
nested_np,רכב,1,1,TBD,False,exact,
nested_np,סגסוגת,1,1,TBD,False,exact,
nested_np,חדשה,1,1,TBD,False,exact,
nested_np,אושר.,1,1,TBD,False,exact,
nested_np,שכבת,1,1,TBD,False,exact,
nested_np,הגנה,1,1,TBD,False,exact,
nested_np,דקה,1,1,TBD,False,exact,
nested_np,מנעה,1,1,TBD,False,exact,
nested_np,קורוזיה.,1,1,TBD,False,exact,
nested_np,בדיקת,1,1,TBD,False,exact,
nested_np,איכות,1,1,TBD,False,exact,
nested_np,סופית,1,1,TBD,False,exact,
nested_np,עברה.,1,1,TBD,False,exact,
pp_attached,בדיקה,1,1,TBD,False,exact,
pp_attached,בטמפרטורה,1,1,TBD,False,exact,
pp_attached,גבוהה,2,1,TBD,False,exact,
pp_attached,בוצעה.,1,1,TBD,False,exact,
pp_attached,חימום,1,1,TBD,False,exact,
pp_attached,בלחץ,1,1,TBD,False,exact,
pp_attached,מבוקר,1,1,TBD,False,exact,
pp_attached,שיפר,1,1,TBD,False,exact,
pp_attached,את,1,1,TBD,False,exact,
pp_attached,תוצאה.,1,1,TBD,False,exact,
pp_attached,קירור,1,1,TBD,False,exact,
pp_attached,במהירות,1,1,TBD,False,exact,
pp_attached,גרם,1,1,TBD,False,exact,
pp_attached,לסדקים.,1,1,TBD,False,exact,
pp_attached,ריתוך,1,1,TBD,False,exact,
pp_attached,בקשת,1,1,TBD,False,exact,
pp_attached,חשמלית,1,1,TBD,False,exact,
pp_attached,דורש,1,1,TBD,False,exact,
pp_attached,מיומנות.,1,1,TBD,False,exact,
