file_id,lemma,expected_freq,expected_doc_freq,expected_pos_primary,is_det_surface,expectation_type,comment
mixed_freq_01,פלדה,5,1,TBD,False,exact,
mixed_freq_01,ברזל,1,1,TBD,False,exact,
mixed_freq_01,הם,1,1,TBD,False,exact,
mixed_freq_01,חומרים,1,1,TBD,False,exact,
mixed_freq_01,נפוצים.,1,1,TBD,False,exact,
mixed_freq_01,משמשת,1,1,TBD,False,exact,
mixed_freq_01,בבניין.,1,1,TBD,False,exact,
mixed_freq_01,סגסוגת,1,1,TBD,False,exact,
mixed_freq_01,חדשה,1,1,TBD,False,exact,
mixed_freq_01,פותחה.,1,1,TBD,False,exact,
mixed_freq_01,חוזק,1,1,TBD,False,exact,
mixed_freq_01,נבדק,1,1,TBD,False,exact,
mixed_freq_01,במעבדה.,1,1,TBD,False,exact,
mixed_freq_01,מיוצאת,1,1,TBD,False,exact,
mixed_freq_01,למדינות,1,1,TBD,False,exact,
mixed_freq_01,רבות.,1,1,TBD,False,exact,
mixed_freq_01,נמצא,1,1,TBD,False,exact,
mixed_freq_01,בטבע,1,1,TBD,False,exact,
mixed_freq_01,כתחמוצת.,1,1,TBD,False,exact,
rare_terms_01,סגסוגת,1,1,TBD,False,exact,
rare_terms_01,אינקונל,1,1,TBD,False,exact,
rare_terms_01,משמשת,1,1,TBD,False,exact,
rare_terms_01,בטמפרטורות,1,1,TBD,False,exact,
rare_terms_01,קיצוניות.,1,1,TBD,False,exact,
rare_terms_01,פלדת,1,1,TBD,False,exact,
rare_terms_01,אל-חלד,1,1,TBD,False,exact,
rare_terms_01,עמידה,1,1,TBD,False,exact,
rare_terms_01,בפני,1,1,TBD,False,exact,
rare_terms_01,קורוזיה.,1,1,TBD,False,exact,
rare_terms_01,טיטניום,1,1,TBD,False,exact,
rare_terms_01,קל,1,1,TBD,False,exact,
rare_terms_01,חזק,1,1,TBD,False,exact,
rare_terms_01,במיוחד.,1,1,TBD,False,exact,
rare_terms_01,מוליבדן,1,1,TBD,False,exact,
rare_terms_01,משפר,1,1,TBD,False,exact,
rare_terms_01,עמידות,1,1,TBD,False,exact,
rare_terms_01,בחום.,1,1,TBD,False,exact,
rare_terms_01,נדיום,1,1,TBD,False,exact,
rare_terms_01,מגדיל,1,1,TBD,False,exact,
rare_terms_01,את,1,1,TBD,False,exact,
rare_terms_01,חוזק,1,1,TBD,False,exact,
rare_terms_01,מתיחה.,1,1,TBD,False,exact,
