file_id,lemma,expected_freq,expected_doc_freq,expected_pos_primary,is_det_surface,expectation_type,comment
hebrew_numerals,אלף,1,1,TBD,False,exact,
hebrew_numerals,חמש,2,1,TBD,False,exact,
hebrew_numerals,מאות,2,1,TBD,False,exact,
hebrew_numerals,מעלות.,1,1,TBD,False,exact,
hebrew_numerals,מאה,1,1,TBD,False,exact,
hebrew_numerals,עשרים,1,1,TBD,False,exact,
hebrew_numerals,מגהפסקל.,1,1,TBD,False,exact,
hebrew_numerals,שלושה,1,1,TBD,False,exact,
hebrew_numerals,אחוזי,1,1,TBD,False,exact,
hebrew_numerals,פחמן.,1,1,TBD,False,exact,
hebrew_numerals,גרם.,1,1,TBD,False,exact,
hebrew_numerals,אלפיים,1,1,TBD,False,exact,
hebrew_numerals,ליטר.,1,1,TBD,False,exact,
mixed_numbers,מגהפסקל.,1,1,TBD,False,exact,
mixed_numbers,כרום.,1,1,TBD,False,exact,
mixed_numbers,ניקל.,1,1,TBD,False,exact,
mixed_numbers,מעלות.,1,1,TBD,False,exact,
mixed_numbers,מילימטר.,1,1,TBD,False,exact,
percentages,סגסוגת,1,1,TBD,False,exact,
percentages,מכילה,1,1,TBD,False,exact,
percentages,אחוז,2,1,TBD,False,exact,
percentages,כרום.,1,1,TBD,False,exact,
percentages,ניקל,1,1,TBD,False,exact,
percentages,נוסף.,1,1,TBD,False,exact,
percentages,פחמן,1,1,TBD,False,exact,
percentages,מהווה,1,1,TBD,False,exact,
percentages,אחוז.,2,1,TBD,False,exact,
percentages,עלות,1,1,TBD,False,exact,
percentages,עלתה,1,1,TBD,False,exact,
percentages,ב-15,1,1,TBD,False,exact,
